eid,nid_s,nid_e,type,lanes,capacity,maxmph,fft,length,geometry
125,40,39,residential,1.0,1900.0,20.0,16.02061105,143.233,"LINESTRING (532245.6458870182 4205848.757401103, 532239.7184370629 4205797.828153429, 532202.6041828271 4205751.347264077, 532187.9943354436 4205744.621342991, 532173.1916552914 4205737.805925606)"
126,41,42,residential,1.0,1900.0,20.0,6.287200350000001,56.211,"LINESTRING (531496.7461282331 4207209.654033526, 531469.0275015314 4207160.827071353)"
127,42,41,residential,1.0,1900.0,20.0,6.287200350000001,56.211,"LINESTRING (531469.0275015314 4207160.827071353, 531496.7461282331 4207209.654033526)"
128,42,62,residential,1.0,1900.0,20.0,22.329957699999998,199.642,"LINESTRING (531469.0275015314 4207160.827071353, 531637.805042843 4207053.897654936)"
129,42,10,residential,1.0,1900.0,20.0,18.8274868,168.328,"LINESTRING (531469.0275015314 4207160.827071353, 531324.9443083736 4207248.138018048)"
130,43,60,residential,1.0,1900.0,20.0,6.357554,56.84,"LINESTRING (531876.6484488142 4206484.021091078, 531933.4322632854 4206479.638257424)"
131,43,44,residential,1.0,1900.0,20.0,12.724279700000002,113.762,"LINESTRING (531876.6484488142 4206484.021091078, 531858.1660099622 4206444.038690189, 531846.3326209006 4206407.721557044, 531853.9967937719 4206398.764131758, 531873.6061408492 4206399.717156692)"
132,43,30,residential,1.0,1900.0,20.0,11.2881257,100.922,"LINESTRING (531876.6484488142 4206484.021091078, 531840.1093470991 4206488.4832007, 531809.5571585798 4206490.838459134, 531786.5929921347 4206492.491054913, 531775.9759358163 4206493.24862136)"
133,44,43,residential,1.0,1900.0,20.0,12.724279700000002,113.762,"LINESTRING (531873.6061408492 4206399.717156692, 531853.9967937719 4206398.764131758, 531846.3326209006 4206407.721557044, 531858.1660099622 4206444.038690189, 531876.6484488142 4206484.021091078)"
134,45,9,residential,1.0,1900.0,20.0,23.991265750000007,214.49500000000003,"LINESTRING (531518.3366118899 4207224.483178181, 531467.7667478685 4207246.534550785, 531448.1599273389 4207252.28413933, 531417.9391453173 4207253.698998048, 531405.3618669768 4207250.843475417, 531393.9554052883 4207251.698352394, 531381.0375406899 4207255.232536078, 531372.9018900519 4207263.866824328, 531361.6986857791 4207289.520853159, 531346.2850310752 4207316.656621415)"
135,45,62,residential,1.0,1900.0,20.0,29.5879042,264.532,"LINESTRING (531518.3366118899 4207224.483178181, 531536.4991999213 4207215.399545473, 531584.4441110155 4207177.605096546, 531660.3057667323 4207132.884582222, 531675.0664285277 4207118.295821017, 531637.805042843 4207053.897654936)"
